ID,WER
0,0.888888888888889
1,0.555555555555556
2,1.5
3,0.5
4,0.333333333333333
5,0
6,0.7
7,0
8,0.25
9,0.8
10,0.2
11,0.857142857142857
12,0
13,0.142857142857143
14,1.33333333333333
15,0.2
16,1
17,0.125
18,0.363636363636364
20,1
21,0
22,0.588235294117647
23,0.333333333333333
24,0
25,0.9375
26,0.25
27,0.5
28,0.571428571428571
29,0.666666666666667
30,0
31,0
32,0.466666666666667
33,0.090909090909091
34,0
35,1
36,0.375
37,1
38,0.588235294117647
39,0.444444444444444
40,0.375
41,0.2
42,0.181818181818182
43,0.2
44,1.16666666666667
45,0
46,1
47,0
48,0.333333333333333
49,0.833333333333333
50,1
51,0
52,0.25
53,0.571428571428571
54,0.6
55,0.5
56,0.285714285714286
57,0.833333333333333
58,0.642857142857143
59,0.666666666666667
60,1
61,0
62,0.6875
63,2
64,1
65,0.666666666666667
66,0.5
67,0.571428571428571
68,0.142857142857143
69,0.2
70,0.6
71,0
72,0.285714285714286
73,0.705882352941176
74,0.555555555555556
75,0.722222222222222
76,0.8
78,1
79,0.875
80,0.666666666666667
81,0.571428571428571
82,0.4
83,0.363636363636364
84,2
85,0.5
86,0.142857142857143
87,0.222222222222222
88,0
89,0.181818181818182
90,0.428571428571429
91,0.375
92,0.833333333333333
93,0.857142857142857
94,0.4
95,0.5
96,1.33333333333333
97,0
98,0.857142857142857
99,0.4
100,0.5
101,0.25
102,0.25
103,0.882352941176471
104,0.3
105,1.33333333333333
106,0.6
107,1
108,0.5
109,1
110,0.285714285714286
111,0.5
112,0
113,7
114,0.4
115,0.333333333333333
116,1
117,0.5
118,2
119,0
120,0.533333333333333
121,1
122,0.333333333333333
123,0.5
124,0.4
125,0.1
126,0.25
127,0.833333333333333
128,0.333333333333333
129,0.25
130,0
131,1.33333333333333
133,1.25
134,0.5
135,0.666666666666667
136,0.4
137,0.7
138,0.875
139,0.666666666666667
140,0.545454545454545
141,0.142857142857143
142,1
143,0.2
144,0
145,1.25
146,0.416666666666667
147,0.166666666666667
148,1
149,0.5
150,0.4
151,0.4
152,0.4
153,0.692307692307692
154,0.6
155,1.5
156,0.75
158,1.2
159,0
160,0.571428571428571
161,1
162,0.909090909090909
163,0.636363636363636
164,0.181818181818182
165,0.904761904761905
166,0.583333333333333
167,0.25
168,0.727272727272727
169,1
170,0
171,0.4
172,0.75
173,0.6
174,1
175,0.647058823529412
176,0.916666666666667
177,0.5
178,0.5
179,1
180,0.833333333333333
181,0.75
182,0.222222222222222
183,0.428571428571429
184,0
185,1
186,0.2
187,1.66666666666667
188,0.666666666666667
189,0.6
190,0
191,0.25
192,0.571428571428571
193,0.2
194,0
195,0.142857142857143
196,0.333333333333333
197,0
198,0.428571428571429
199,0.636363636363636
200,0.6
201,0.111111111111111
202,0.4
203,0.6
204,0.6
205,0.884615384615385
206,5
207,0.75
208,0.5
209,0.285714285714286
210,0.8
211,0.142857142857143
212,0.285714285714286
213,0.5
214,1
215,0.625
216,0.5
217,0.5
218,0.5
219,0.75
220,0.695652173913043
221,0.5
222,0.571428571428571
223,0.785714285714286
224,0.142857142857143
225,0.375
226,0.526315789473684
227,0
228,0.444444444444444
229,0.444444444444444
230,0.166666666666667
231,0
232,0.666666666666667
233,0.5
234,0.285714285714286
235,0.571428571428571
236,1.125
237,0.25
238,0.375
239,0.75
240,0.142857142857143
241,0.5
242,0.4
243,0.125
245,0.5
246,0.8
247,0.666666666666667
248,0.142857142857143
249,0.2
250,0.428571428571429
251,0.166666666666667
252,0.125
253,0.666666666666667
254,1
255,3
256,0.4
257,0.375
258,1
259,1.66666666666667
260,0.5
261,0.571428571428571
262,0
263,0.285714285714286
264,0.25
265,0.692307692307692
266,0.928571428571429
267,0.5
268,1.25
269,0.333333333333333
270,0.444444444444444
271,0.5625
272,0.333333333333333
273,0
274,1
275,0.333333333333333
276,0.714285714285714
277,1.6
278,0.6
279,0.666666666666667
280,0.333333333333333
281,0.222222222222222
282,0.666666666666667
283,0
284,0.666666666666667
285,0.8
286,0.2
287,1
288,0.5
289,1
290,0.333333333333333
291,0.571428571428571
292,0.142857142857143
293,0.6
294,0
295,0.272727272727273
296,0.555555555555556
297,0
298,0.666666666666667
299,0.6
300,0.222222222222222
301,1
302,0.2
303,0.4
304,0
305,0.375
306,0.333333333333333
307,0.4
308,0.833333333333333
309,0
310,0.5
311,0.5
312,0.4
313,0.625
314,0
315,0
316,0
317,0.75
318,0
319,0
320,0.538461538461538
321,0.866666666666667
322,0.857142857142857
323,0.4
324,0.2
325,0.545454545454545
326,0.428571428571429
327,0.857142857142857
328,0.666666666666667
329,0.666666666666667
330,1.25
331,0.625
332,0.375
333,0.285714285714286
334,1.25
335,0.363636363636364
336,0
337,0.272727272727273
338,1
339,0.2
340,1.6
341,0.666666666666667
342,0
343,0.777777777777778
344,0.714285714285714
345,0.25
346,0.5
347,1.25
348,0.5
349,0.555555555555556
350,0.75
351,0.888888888888889
352,0.166666666666667
353,0.285714285714286
354,0.1
355,0.071428571428572
356,0.2
357,0.083333333333333
358,0.6
359,0.75
360,0.25
361,0.7
362,0.5
363,0.8
364,0.933333333333333
365,0.714285714285714
366,0.181818181818182
367,0.538461538461538
368,0.111111111111111
369,0.466666666666667
370,0.555555555555556
371,0.454545454545455
372,0.666666666666667
373,0.769230769230769
374,0
375,0.6
376,0.727272727272727
377,2
378,0.454545454545455
379,0.666666666666667
380,0.4
381,0.25
382,0.4
383,0.7
384,0.4
385,0.333333333333333
386,0.571428571428571
387,0.3
388,0.814814814814815
389,0.428571428571429
390,0
391,0.714285714285714
393,0.642857142857143
394,0
395,0.555555555555556
396,0.789473684210526
397,0.3
398,0.111111111111111
399,0.666666666666667
400,0
401,0
402,0.5
403,0.5
404,0.25
405,0.285714285714286
406,0.4
407,0.764705882352941
408,0.4
409,0
410,0
411,0.666666666666667
412,0.6
413,0.25
414,1.5
415,0.5
416,0.75
417,0.666666666666667
418,0
419,0.25
420,0.777777777777778
421,0.333333333333333
422,0.166666666666667
423,0.25
424,0.647058823529412
425,1.33333333333333
426,0.2
427,1
428,1
429,0.8
430,0.166666666666667
431,1.57142857142857
432,0.285714285714286
433,0.333333333333333
434,0.75
435,0.333333333333333
436,1
437,0
438,0
439,0.666666666666667
440,1
441,0.8
442,0.5
443,0.25
444,0
445,0.5
446,1
447,0.833333333333333
449,1.66666666666667
450,0.25
451,0.933333333333333
452,0.428571428571429
453,0
454,0.352941176470588
455,0.538461538461538
456,0.571428571428571
457,0.357142857142857
458,0.25
459,0
460,0.25
461,0
462,0.125
463,0.25
464,0
465,0.125
466,0
467,1
468,0.7
469,0.4
470,0.833333333333333
471,1
472,1
473,0.421052631578947
474,0.555555555555556
475,0.333333333333333
476,0.833333333333333
477,1
478,0.5
479,0.2
480,1
481,0.333333333333333
482,0
483,0.5
484,0.375
485,0.8
486,1.1
487,0.285714285714286
488,0
489,0.777777777777778
490,0.222222222222222
491,0.571428571428571
492,0.75
493,0.333333333333333
494,0.625
495,0.666666666666667
496,0.25
497,0
498,0.625
499,0
500,0.428571428571429
501,0.875
502,0.666666666666667
503,3
504,0.4
505,0.25
506,0.333333333333333
507,0.571428571428571
508,0.333333333333333
509,0.333333333333333
510,0
511,1
512,0.666666666666667
513,2.5
514,1
515,0.142857142857143
516,0.375
517,0.4
518,0.538461538461538
519,0.4
520,0
521,0.2
522,0
523,0
524,0.4
525,0.375
526,0.5
527,0.833333333333333
528,0.6
529,0.333333333333333
530,0.555555555555556
531,0.666666666666667
532,0
533,0.4
534,0.222222222222222
535,0.555555555555556
536,1
537,0
